date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:55:30	115981/115981	---M--	200	added ('OK')	image/png	etag:%2289a1856-1c50d-54b7ed7d8e50a%22	http://htmlmystore.justthemevalley.com/genius/Version3/images/large-icon-sitemap.png	C:/My%20Web%20Sites/shop/htmlmystore.justthemevalley.com/genius/Version3/images/large-icon-sitemap.png	(from http://htmlmystore.justthemevalley.com/genius/Version3/sitemap.html)
17:55:38	90412/90412	---M--	200	added ('OK')	application/x-font-woff	etag:%2289a1964-1612c-54b7ee0e40369%22	http://htmlmystore.justthemevalley.com/genius/Version3/fonts/font-awesome/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/shop/htmlmystore.justthemevalley.com/genius/Version3/fonts/font-awesome/fontawesome-webfont3e6e.woff	(from http://htmlmystore.justthemevalley.com/genius/Version3/css/font-awesome.min.css)
17:55:39	301405/301405	---M--	200	added ('OK')	image/jpeg	etag:%2289a1971-4995d-54b7ee16d6f3e%22	http://htmlmystore.justthemevalley.com/genius/Version3/images/products/img04.jpg	C:/My%20Web%20Sites/shop/htmlmystore.justthemevalley.com/genius/Version3/images/products/img04.jpg	(from http://htmlmystore.justthemevalley.com/genius/Version3/index.html)
17:56:02	67832/67832	---M--	200	added ('OK')	text/html	etag:%228aa1448-108f8-54b7ee5edb0ff%22	http://htmlmystore.justthemevalley.com/genius/Version3/fonts/roboto/MediumItalic/Roboto-MediumItalic.woff2?v=1.1.0	C:/My%20Web%20Sites/shop/htmlmystore.justthemevalley.com/genius/Version3/fonts/roboto/MediumItalic/Roboto-MediumItalic9f1e.woff2	(from http://htmlmystore.justthemevalley.com/genius/Version3/css/style.css)
17:56:08	94744/94744	UR-M--	200	added ('Partial%20Content')	application/x-font-woff	etag:%228aa1432-17218-54b7ee52f42cc%22	http://htmlmystore.justthemevalley.com/genius/Version3/fonts/roboto/BoldItalic/Roboto-BoldItalic.woff?v=1.1.0	C:/My%20Web%20Sites/shop/htmlmystore.justthemevalley.com/genius/Version3/fonts/roboto/BoldItalic/Roboto-BoldItalic9f1e.woff	(from http://htmlmystore.justthemevalley.com/genius/Version3/css/style.css)
17:56:11	97612/97612	---M--	200	added ('OK')	application/x-font-woff	etag:%228aa1447-17d4c-54b7ee5e0ef5b%22	http://htmlmystore.justthemevalley.com/genius/Version3/fonts/roboto/MediumItalic/Roboto-MediumItalic.woff?v=1.1.0	C:/My%20Web%20Sites/shop/htmlmystore.justthemevalley.com/genius/Version3/fonts/roboto/MediumItalic/Roboto-MediumItalic9f1e.woff	(from http://htmlmystore.justthemevalley.com/genius/Version3/css/style.css)
17:56:11	161484/161484	---M--	200	added ('OK')	application/x-font-ttf	etag:%228aa1437-276cc-54b7ee5515965%22	http://htmlmystore.justthemevalley.com/genius/Version3/fonts/roboto/Italic/Roboto-Italic.ttf?v=1.1.0	C:/My%20Web%20Sites/shop/htmlmystore.justthemevalley.com/genius/Version3/fonts/roboto/Italic/Roboto-Italic9f1e.ttf	(from http://htmlmystore.justthemevalley.com/genius/Version3/css/style.css)
17:56:14	68784/68784	---M--	200	added ('OK')	text/html	etag:%228a82732-10cb0-54b7ee4f546fd%22	http://htmlmystore.justthemevalley.com/genius/Version3/fonts/roboto/BlackItalic/Roboto-BlackItalic.woff2?v=1.1.0	C:/My%20Web%20Sites/shop/htmlmystore.justthemevalley.com/genius/Version3/fonts/roboto/BlackItalic/Roboto-BlackItalic9f1e.woff2	(from http://htmlmystore.justthemevalley.com/genius/Version3/css/style.css)
17:56:17	31116/31116	---M--	200	added ('OK')	application/x-font-woff	etag:%2289a195d-798c-54b7ee09affee%22	http://htmlmystore.justthemevalley.com/genius/Version3/fonts/dosis/x-7NZTw0n-ypOAaIE8uSrvesZW2xOQ-xsNqO47m55DA.woff	C:/My%20Web%20Sites/shop/htmlmystore.justthemevalley.com/genius/Version3/fonts/dosis/x-7NZTw0n-ypOAaIE8uSrvesZW2xOQ-xsNqO47m55DA.woff	(from http://htmlmystore.justthemevalley.com/genius/Version3/css/style.css)
17:56:23	163644/163644	---M--	200	added ('OK')	application/x-font-ttf	etag:%228aa1433-27f3c-54b7ee52ae59b%22	http://htmlmystore.justthemevalley.com/genius/Version3/fonts/roboto/BoldItalic/Roboto-BoldItalic.ttf?v=1.1.0	C:/My%20Web%20Sites/shop/htmlmystore.justthemevalley.com/genius/Version3/fonts/roboto/BoldItalic/Roboto-BoldItalic9f1e.ttf	(from http://htmlmystore.justthemevalley.com/genius/Version3/css/style.css)
17:56:24	234/234	---M--	200	added ('OK')	image/png	etag:%2289a1829-ea-54b7ed69a270d%22	http://htmlmystore.justthemevalley.com/genius/Version3/images/arrow-d.png	C:/My%20Web%20Sites/shop/htmlmystore.justthemevalley.com/genius/Version3/images/arrow-d.png	(from http://htmlmystore.justthemevalley.com/genius/Version3/css/style.css)
17:56:24	175/175	---M--	200	added ('OK')	image/png	etag:%2289a1865-af-54b7ed825fb7f%22	http://htmlmystore.justthemevalley.com/genius/Version3/images/plus-d2.png	C:/My%20Web%20Sites/shop/htmlmystore.justthemevalley.com/genius/Version3/images/plus-d2.png	(from http://htmlmystore.justthemevalley.com/genius/Version3/css/style.css)
17:56:27	132825/132825	---M--	200	added ('OK')	image/jpeg	etag:%2289a1861-206d9-54b7ed81f0255%22	http://htmlmystore.justthemevalley.com/genius/Version3/images/newsletter.jpg	C:/My%20Web%20Sites/shop/htmlmystore.justthemevalley.com/genius/Version3/images/newsletter.jpg	(from http://htmlmystore.justthemevalley.com/genius/Version3/css/style.css)
17:56:28	44539/44539	---M--	200	added ('OK')	image/jpeg	etag:%2289a186e-adfb-54b7ed861185f%22	http://htmlmystore.justthemevalley.com/genius/Version3/images/team-img03.jpg	C:/My%20Web%20Sites/shop/htmlmystore.justthemevalley.com/genius/Version3/images/team-img03.jpg	(from http://htmlmystore.justthemevalley.com/genius/Version3/about_us.html)
17:56:30	71896/71896	---M--	200	added ('OK')	text/html	etag:%2289a1965-118d8-54b7ee0eb3efb%22	http://htmlmystore.justthemevalley.com/genius/Version3/fonts/font-awesome/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/shop/htmlmystore.justthemevalley.com/genius/Version3/fonts/font-awesome/fontawesome-webfont3e6e.woff2	(from http://htmlmystore.justthemevalley.com/genius/Version3/css/font-awesome.min.css)
17:56:33	152796/152796	UR-M--	200	added ('Partial%20Content')	application/x-font-ttf	etag:%2289a1963-254dc-54b7ee0db54bf%22	http://htmlmystore.justthemevalley.com/genius/Version3/fonts/font-awesome/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/shop/htmlmystore.justthemevalley.com/genius/Version3/fonts/font-awesome/fontawesome-webfont3e6e.ttf	(from http://htmlmystore.justthemevalley.com/genius/Version3/css/font-awesome.min.css)
17:56:40	35514/35514	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2289a1969-8aba-54b7ee104e56a%22	http://htmlmystore.justthemevalley.com/genius/Version3/fonts/simple-line-icons/Simple-Line-Icons.eot	C:/My%20Web%20Sites/shop/htmlmystore.justthemevalley.com/genius/Version3/fonts/simple-line-icons/Simple-Line-Icons.eot	(from http://htmlmystore.justthemevalley.com/genius/Version3/css/simple-line-icons.css)
17:56:41	363/363	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Apr%202017%2011:56:33%20GMT	http://htmlmystore.justthemevalley.com/genius/Version3/css/fonts/Thin/Roboto-Thin.ttf?v=1.1.0	C:/My%20Web%20Sites/shop/htmlmystore.justthemevalley.com/genius/Version3/css/fonts/Thin/Roboto-Thin9f1e.ttf	(from http://htmlmystore.justthemevalley.com/genius/Version3/css/style.css)
17:56:44	391622/391622	---M--	200	added ('OK')	image/svg+xml	etag:%2289a1962-5f9c6-54b7ee0cf69f4%22	http://htmlmystore.justthemevalley.com/genius/Version3/fonts/font-awesome/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/shop/htmlmystore.justthemevalley.com/genius/Version3/fonts/font-awesome/fontawesome-webfont3e6e.svg	(from http://htmlmystore.justthemevalley.com/genius/Version3/css/font-awesome.min.css)
17:56:50	63752/63752	---M--	200	added ('OK')	text/html	etag:%228a8272b-f908-54b7ee4d3150c%22	http://htmlmystore.justthemevalley.com/genius/Version3/fonts/roboto/Black/Roboto-Black.woff2?v=1.1.0	C:/My%20Web%20Sites/shop/htmlmystore.justthemevalley.com/genius/Version3/fonts/roboto/Black/Roboto-Black9f1e.woff2	(from http://htmlmystore.justthemevalley.com/genius/Version3/css/style.css)
17:56:52	166492/166492	---M--	200	added ('OK')	application/x-font-ttf	etag:%228aa143e-28a5c-54b7ee593bd8f%22	http://htmlmystore.justthemevalley.com/genius/Version3/fonts/roboto/LightItalic/Roboto-LightItalic.ttf?v=1.1.0	C:/My%20Web%20Sites/shop/htmlmystore.justthemevalley.com/genius/Version3/fonts/roboto/LightItalic/Roboto-LightItalic9f1e.ttf	(from http://htmlmystore.justthemevalley.com/genius/Version3/css/style.css)
